medv
15.7
17.4
23
31.5
4.1
3.8
3.9
15.8
15.8
15
17.5
15.8
18
17.5
18
13.9
18
18.9
14.5
20.7
14
18.1
20.5
23.9
19.7
15.8
25.7
25.4
14.9
14.8
15.8
19
25
17.9
24.8
16
16.5
26
19
25
20.7
29.5
24.2
21
18
21
21
31
21.7
32.5
32
15.9
11.5
16.2
18.5
11.5
13.6
13.3
14.1
14.8
15.7
20.2
16.9
15
15.6
14.8
16.6
15.5
15.6
15.3
17
17.5
15.5
15.2
17.5
18.1
15.7
17
18.7
17.8
16.1
16.9
18.8
18.2
17.1
17
19.3
17.1
17.5
17
19.6
19.9
20.4
19.8
17.5
19.7
17.6
18
18
19.4
19.9
18
19.2
17.9
18.2
18.2
18
17.6
19
21.3
18.6
19
21
21.8
21.3
18
18.4
22
18.9
22.6
20.1
19.7
20
23
22.6
17
17.9
19.5
16.5
18
21.4
18
25.7
19.8
19.9
15.7
26
19.7
22.5
21.8
21
19.4
16
16.3
22
23
22.9
26.1
20
22
14.5
21.5
23
21.7
21
25.5
19.7
31.9
25.5
23
15
27
21.6
15.8
27.8
22.1
28
25.9
23
32
24
24
29.3
16
18.3
17
16.1
14
13.6
13.9
10
18.3
24
24.5
10.4
10.5
8.7
8.9
8.8
8.9
9.1
10.5
10.7
9.7
11.3
9.8
10.5
9.6
9.8
11
12.4
10
11.8
11
11.1
11.2
12
11.6
9.8
11.2
10.2
11.3
11.5
11.6
10.2
13.1
13.4
16.5
12
11
11
14
10.8
11
13.9
16.5
12
15.3
15.1
15.8
14.7
10.3
10.2
9.4
12.3
13.1
10.8
10.4
13
13.5
12.9
14.2
16.5
7.9
9.5
9
7.8
10.5
9.6
9.8
9.8
10
12
12
10.4
13.8
15.5
15.3
16.5
16.3
14.5
17.7
17.5
12.1
12.3
12.6
12.5
12.9
18.5
13.5
13.8
18
15.5
15.8
16.3
20
16
16.5
16.5
8.7
17
13.1
17.7
15.7
20.5
16.6
16
20
20.2
2.7
3.1
3.5
3.5
3.8
14.9
14.8
16
13
11.3
12
16
16
16.5
14.5
16.8
12
14
14
14.4
15.4
14.3
15.8
12.4
12.5
13.5
34
17.5
27.2
16.5
17.4
6.6
7.8
8.2
6.6
6.8
8
6
6.7
7.3
7.2
7.4
6.3
7
